    801 bin3
    279 bin3_1
    279 bin3_2
     39 bin3_3
    552 Int-Tn
   2419 Int-Tn_1
      6 Int-Tn_10
   2419 Int-Tn_2
   1506 Int-Tn_3
    807 Int-Tn_4
    447 Int-Tn_5
    162 Int-Tn_6
    102 Int-Tn_7
     63 Int-Tn_8
     39 Int-Tn_9
   1590 tetM
     15 tetM_1
     15 tetM_2
      6 tetM_3
     24 tnpA
     15 tnsA
     33 tnsB
     27 tnsC
