Austria	47.516231	14.550072
Canada	56.130366	-106.346771
China	35.86166	104.195397
Denmark	56.26392	9.501785
Estonia	58.595272	25.013607
Fiji	-16.578193	179.414413
Finland	61.92411	25.748151
France	46.227638	2.213749
Germany	51.165691	10.451526
Israel	31.046051	34.851612
Japan	36.204824	138.252924
Kazakhstan	48.019573	66.923684
Mongolia	46.862496	103.846656
NA		
Netherlands	52.132633	5.291266
Russia	61.52401	105.318756
Spain	40.463667	-3.74922
Sweden	60.128161	18.643501
United_Kingdom	55.378051	-3.435973
United_States	37.09024	-95.712891
